Unnamed: 0,Polish,English
4439,uczy ,teaches 
4440,klasa ,class 
4441,zwolniony ,released 
4442,walczy ,fights 
4443,słyszeliśmy ,we heard 
4444,zachowuje ,preserves 
4445,przyznaję ,I admit it 
4446,ron ,ron 
4447,powtarzać ,to repeat 
4448,hm ,hmm 
4449,stałem ,I stood 
4450,rozmiar ,size 
4451,ekipa ,team 
4452,pam ,memoriam 
4453,daisy ,Daisy 
4454,szczyt ,peak 
4455,cudowna ,wonderful 
4456,grupę ,group 
4457,przyjęciu ,party 
4458,ciężarówki ,trucks 
4459,bije ,beats 
4460,black ,black 
4461,filmów ,movies 
4462,wstrzymać ,stop 
4463,specjalnego ,special 
4464,zębów ,teeth 
4465,wyścig ,race 
4466,lubiłem ,I liked it 
4467,sprawdźcie ,check it out 
4468,smak ,taste 
4469,papier ,paper 
4470,diabli ,hell 
4471,napijesz ,you will drink 
4472,bramę ,gate 
4473,spytaj ,ask 
4474,żarcie ,grub 
4475,wstawać ,get up 
4476,pozostanie ,stay 
4477,zrobiło ,it did 
4478,bazie ,base 
4479,żołnierz ,soldier 
4480,złamać ,break 
4481,śnieg ,snow 
4482,włożyć ,put in 
4483,skóra ,skin 
4484,jacy ,what 
4485,wyspa ,island 
4486,pieprzonym ,fucking 
4487,with ,with 
4488,próbując ,trying 
4489,dostępu ,access 
4490,racje ,right 
4491,nauka ,science 
4492,patrzył ,he looked 
4493,cm ,cm 
4494,josh ,Josh 
4495,władze ,authorities 
4496,wybaczy ,I'll forgive you 
4497,straciłam ,I lost it 
4498,przejąć ,take over 
4499,miałbyś ,you would have 
4500,bogowie ,gods 
4501,przybycie ,arrival 
4502,zgodził ,agreed 
4503,carol ,Carol 
4504,zdania ,sentences 
4505,zostawiaj ,leave 
4506,świeże ,fresh 
4507,stolik ,table 
4508,kość ,bone 
4509,prawnika ,lawyer 
4510,poczekajcie ,wait 
4511,wagi ,weights 
4512,przyjechałeś ,you came 
4513,próbować ,to try 
4514,it's ,it's 
4515,wieży ,bonds 
4516,model ,model 
4517,dupa ,ass 
4518,drobne ,small 
4519,pij ,drink 
4520,słuchu ,hearing 
4521,wygrałeś ,you won 
4522,znaki ,characters 
4523,poradzimy ,we will advise 
4524,siedmiu ,seven 
4525,wygląd ,appearance 
4526,informację ,information 
4527,domy ,houses 
4528,trzymają ,they hold 
4529,skończone ,finished 
4530,kimkolwiek ,anyone 
4531,zmieniać ,change 
4532,oskarżony ,accused 
4533,junior ,junior 
4534,gościu ,guest 
4535,ściśle ,close 
4536,brachu ,bro 
4537,mapę ,map 
4538,wyrwać ,break out 
4539,ann ,ann 
4540,zaginął ,is missing 
4541,oczekuje ,expects 
4542,kumple ,buddies 
4543,transport ,transport 
4544,komandorze ,Commander 
4545,wybiera ,chooses 
4546,obrzydliwe ,disgusting 
4547,myśleli ,they thought 
4548,bohatera ,hero 
4549,umysłu ,mind 
4550,jill ,jill 
4551,otwierać ,open 
4552,psów ,dogs 
4553,blue ,blue 
4554,stań ,state 
4555,zwykła ,ordinary 
4556,samoloty ,planes 
4557,zaczynać ,begin 
4558,przeraża ,scary 
4559,wrócili ,they came back 
4560,okropny ,terrible 
4561,kupy ,poop 
4562,spotkał ,met 
4563,odwrócić ,reverse 
4564,white ,white 
4565,wracajmy ,let's go back 
4566,ślubie ,wedding 
4567,whoa ,whoa 
4568,prezenty ,presents 
4569,właściciel ,owner 
4570,morzu ,sea 
4571,sprawdźmy ,let's check 
4572,małżeństwem ,marriage 
4573,normalny ,normal 
4574,popełnił ,he committed 
4575,poważnego ,serious 
4576,następnej ,next 
4577,księżniczka ,princess 
4578,związane ,related 
4579,palant ,jerk 
4580,uciekła ,fled 
4581,zdenerwowany ,upset 
4582,pośród ,among 
4583,znajdziecie ,you will find 
4584,uderz ,hit 
4585,marshall ,Marshall 
4586,zbadać ,examine 
4587,doktorku ,Doc 
4588,wyobrażasz ,you imagine 
4589,cieszyć ,enjoy 
4590,poczekam ,I will wait 
4591,koncert ,concert 
4592,całość ,whole 
4593,rosji ,Russia 
4594,ceny ,prices 
4595,popatrzcie ,look 
4596,większego ,bigger 
4597,głównej ,main page 
4598,góra ,Mountain 
4599,dziesięciu ,ten 
4600,numeru ,number 
4601,postaw ,attitudes 
4602,randy ,Randy 
4603,potrzebujecie ,I need you 
4604,wygodnie ,comfortably 
4605,niesamowita ,amazing 
4606,porozmawiaj ,let's talk 
4607,tymczasem ,meanwhile 
4608,wraith ,wraith 
4609,pojawia ,appears 
4610,stracisz ,you will lose 
4611,byl ,was 
4612,próbowali ,they tried 
4613,wzięli ,they took it 
4614,twe ,yours 
4615,bawisz ,you're having fun 
4616,postaci ,characters 
4617,połącz ,connect 
4618,zrobiłbym ,I would 
4619,niezwykłe ,unusually 
4620,ulicach ,streets 
4621,brad ,brad 
4622,zeznania ,testimony 
4623,oświadczenie ,statement 
4624,przyjechała ,she came 
4625,prowadzą ,they lead 
4626,stali ,steel 
4627,odpowiedni ,right 
4628,stołu ,table 
4629,przyszły ,future 
4630,policjantem ,policeman 
4631,spędziłem ,I spent 
4632,największe ,biggest 
4633,martwe ,dead 
4634,scully ,scully 
4635,nathan ,nathan 
4636,świetnym ,great 
4637,przepraszamy ,We apologize 
4638,spałem ,I was sleeping 
4639,odejdę ,I'll leave 
4640,osobie ,about yourself 
4641,powrocie ,returning 
4642,tyłka ,ass 
4643,występ ,performance 
4644,formie ,form 
4645,strażnik ,guard 
4646,namierzyć ,trace 
4647,nienawidzisz ,you hate 
4648,przekonany ,convinced 
4649,wejdziesz ,you will come in 
4650,potter ,Potter 
4651,obserwować ,observe 
4652,zobaczyłam ,I saw 
4653,świetną ,excellent 
4654,królowej ,the queen 
4655,zaledwie ,barely 
4656,oba ,both 
4657,doskonałe ,excellent 
4658,zawiera ,contains 
4659,traci ,loses 
4660,gada ,talks 
4661,zgłosić ,to report 
4662,zjemy ,we will eat 
4663,panów ,gentlemen 
4664,zaatakował ,he attacked 
4665,dziewczęta ,girls 
4666,potwierdzić ,to confirm 
4667,spotykamy ,we meet 
4668,jacyś ,some 
4669,bani ,sucks 
4670,aparat ,the camera 
4671,niesamowicie ,amazing 
4672,allplayer ,allplayer 
4673,ramiona ,arms 
4674,młodego ,young 
4675,powiedzą ,they will say 
4676,tańca ,dance 
4677,przeczytaj ,read 
4678,wyzwanie ,challenge 
4679,skończymy ,we'll finish 
4681,grzeczny ,good 
4682,zaczęłam ,I started 
4683,pijesz ,you drink 
4684,zabierzesz ,you will take it 
4685,tamto ,that 
4686,sprzed ,before 
4687,kurcze ,chicken 
4688,wątpienia ,doubt 
4689,usług ,services 
4690,dusze ,souls 
4691,koszulę ,shirts 
4692,zaufania ,trust 
4693,wyjeżdżam ,I am leaving 
4694,oj ,oh 
4695,prąd ,current 
4696,motelu ,motel 
4697,obszar ,area 
4698,śpij ,sleep 
4699,tatusia ,daddy 
4700,sprzedaje ,sell 
4701,złapał ,caught 
4702,kurewsko ,fucking 
4703,wielkości ,size 
4704,przestrzeń ,space 
4705,mogliby ,they could 
4706,grają ,they play 
4707,matthew ,matthew 
4708,nazwę ,name 
4709,pozostało ,left 
4710,zielony ,green 
4711,czarnych ,blacks 
4712,cień ,shade 
4713,dostaję ,I get it 
4714,spotyka ,meets 
4715,chorobę ,disease 
4716,paige ,Paige 
4717,kopię ,copies 
4718,więźniów ,prisoners 
4719,pogoda ,weather 
4720,przewagę ,advantage 
4721,służbie ,service 
4722,księżyca ,moon 
4723,floty ,fleet 
4724,silniki ,engines 
4725,psie ,dog 
4726,wieczora ,evening 
4727,obozie ,camp 
4728,próbowaliśmy ,we tried 
4729,potwora ,monster 
4730,strzela ,shoots 
4731,zoo ,zoo 
4732,bingo ,bingo 
4733,se ,se 
4734,jem ,I eat 
4735,wzajemnie ,Mutually 
4736,wyrzuć ,throw away 
4737,zimna ,cold 
4738,linda ,Linda 
4739,wydajesz ,you spend 
4740,stworzenia ,creatures 
4741,skończona ,finished 
4742,laskę ,cane 
4743,przejdźmy ,let's go 
4744,dodać ,to add 
4745,zrozumiał ,he understood 
4746,młodzi ,young 
4747,żołnierzem ,soldier 
4748,nicky ,Nicky 
4749,brzuch ,Belly 
4750,radości ,joy 
4751,scenie ,stage 
4752,dobro ,good 
4753,ptaki ,birds 
4754,dodatkowe ,additional 
4755,spotkałam ,I met 
4756,urocze ,cute 
4757,przyniesie ,will bring 
4758,dostajesz ,you get 
4759,zwykłym ,ordinary 
4760,reguły ,rules 
4761,czytam ,I am reading 
4762,autobusu ,bus 
4763,znajdźcie ,find 
4764,legenda ,legend 
4765,buddy ,Buddha 
4766,nauczyłeś ,you taught 
4767,zgodzić ,agree 
4768,like ,like 
4769,spalić ,burn 
4770,systemy ,systems 
4771,drużynie ,team 
4772,wisi ,hanging 
4773,szukaj ,search 
4774,przeżyje ,will survive 
4775,zatrzyma ,will stop 
4776,metra ,subway 
4777,dno ,bottom 
4778,dostałaś ,you got it 
4779,spróbuje ,I'll try 
4780,rosjanie ,Russians 
4781,odbiera ,answers 
4782,derek ,Derek 
4783,otwarcie ,openly 
4784,ellie ,ellie 
4785,wyjątkowo ,exceptionally 
4786,lud ,people 
4787,przedstawię ,I will present 
4788,wypuścić ,let out 
4789,dnie ,bottom 
4790,udawaj ,pretend 
4791,imieniem ,name 
4792,rozmów ,conversations 
4793,amerykanów ,Americans 
4794,chuj ,dick 
4795,sądziłam ,I thought 
4796,tracimy ,we are losing 
4797,pasują ,they fit 
4798,tracę ,I'm losing 
4799,shaw ,shaw 
4800,minie ,will pass 
4801,musiałaś ,you had to 
4802,litości ,Mercy 
4803,załatwił ,arranged 
4804,tracisz ,you are losing 
4805,nielegalne ,illegal 
4806,prv ,prv 
4807,walizkę ,suitcase 
4808,kurczę ,chicken 
4809,południowej ,south 
4810,twierdzą ,fortress 
4811,pilota ,pilot 
4812,dorwać ,get it 
4813,sztukę ,art 
4814,niedorzeczne ,ridiculous 
4815,zrozumiałam ,I understood 
4816,stark ,stark 
4817,należą ,belong 
4818,odwrót ,retreat 
4819,poszukiwania ,search 
4820,sok ,juice 
4821,nerwy ,nerves 
4822,martwego ,dead 
4823,geniuszem ,genius 
4824,leżeć ,to lie 
4825,spadam ,I'm falling 
4826,źli ,bad 
4827,hasło ,password 
4828,przyjaźń ,friendship 
4829,europie ,Europe 
4830,dziadka ,grandfather 
4831,nauczysz ,you will teach 
4832,elliot ,elliot 
4833,dotrze ,will arrive 
4834,zależało ,cared 
4835,największą ,the biggest 
4836,cholerna ,damn 
4837,myślimy ,we think 
4838,wycieczkę ,trip 
4839,dziewczynkę ,girl 
4840,dzisiejszy ,today 
4841,Lincoln ,Lincoln 
4842,racji ,right 
4843,Diego ,Diego 
4844,Lewis ,Lewis 
4845,piję ,I drink 
4846,policjantów ,policemen 
4847,zabrała ,she took 
4848,interesach ,business 
4849,śmieszny ,funny 
4850,napewno ,Definitely 
4851,szczury ,rats 
4852,radzisz ,you advise 
4853,prawdziwej ,real 
4854,magazyn ,warehouse 
4855,bla ,blah 
4856,światu ,to the world 
4857,dadzą ,they will give 
4858,poczułem ,I felt 
4859,taaa ,yeah 
4860,hill ,hill 
4861,przyjadę ,I arrive 
4862,kuli ,ball 
4863,papierosy ,cigarettes 
4864,tacie ,dad 
4865,otwarty ,open 
4866,sprawi ,will make 
4867,martwych ,dead 
4868,dziwna ,odd 
4869,this ,this 
4870,lubił ,he liked 
4871,szczęśliwego ,happy 
4872,ulubione ,favorite 
4873,zostaję ,I'm staying 
4874,zaczęły ,they started 
4875,urodzin ,birthday 
4876,piper ,piper 
4877,ostrzegam ,I'm warning you 
4878,potężny ,powerful 
4879,zabójcą ,killer 
4880,września ,September 
4881,krótkie ,short 
4882,wybuchnie ,will explode 
4883,niezłą ,not bad 
4884,policjanta ,policeman 
4885,żywcem ,alive 
4886,bylo ,was 
4887,kasa ,cash register 
4888,trafi ,will hit 
4889,radzi ,advises 
4890,zakończenie ,end 
4891,pogodzić ,reconcile 
4892,twierdzisz ,you claim 
4893,spotkajmy ,let's meet 
4894,kumplem ,buddy 
4895,najgorszy ,the worst 
4896,maskę ,mask 
4897,uroczy ,cute 
4898,zrozumie ,understand 
4899,wydał ,spent 
4900,czarnym ,black 
4901,garść ,handful 
4902,ustach ,mouth 
4903,jeździ ,drives 
4904,dowodu ,proof 
4905,zgodę ,agreement 
4906,zmieniłem ,I changed it 
4907,odległość ,distance 
4908,właściwe ,appropriate 
4909,karę ,punishment 
4910,udziału ,share 
4911,pamiętacie ,you remember 
4912,ocean ,ocean 
4913,enterprise ,enterprise 
4914,holly ,Holly 
4915,poszłam ,I went 
4916,prosta ,straight 
4917,tyiko ,only 
4918,pomyślę ,I'll think about it 
4919,wszelki ,any 
4920,zmieniłeś ,you changed 
4921,przejdziemy ,we'll get through 
4922,ratunku ,rescue 
4923,zrobicie ,you will do it 
4924,pasy ,belts 
4925,noszę ,stretcher 
4926,większa ,bigger 
4927,zakochany ,in love 
4928,parkingu ,parking lot 
4929,zeby ,To 
4930,cios ,blow 
4931,Scotty ,Scotty 
4932,chodzą ,they walk 
4933,trening ,training 
4934,nowo ,newly 
4935,państwu ,you 
4936,Ripley ,Ripley 
4937,radość ,joy 
4938,poznałeś ,you met 
4939,wejścia ,entrances 
4940,umieścić ,put 
4941,chodził ,he went 
4942,niebezpieczna ,dangerous 
4943,królestwo ,Kingdom 
4944,sposobu ,way 
4945,Ricky ,Ricky 
4946,wywiadu ,interview 
4947,pragniesz ,you want 
4948,idziecie ,you're going 
4949,wydarzy ,will happen 
4950,dym ,smoke 
4951,idealna ,ideal 
4952,złapią ,they will catch 
4953,dzwonisz ,you call 
4954,obiecał ,he promissed 
4955,samotnie ,alone 
4956,tatuaż ,tattoo 
4957,przyniósł ,brought 
4958,pecha ,bad luck 
4959,guzik ,button 
4960,grałem ,I played 
4961,sprzeciw ,objection 
4962,programie ,program 
4963,żołnierzu ,soldier 
4964,dbam ,I care 
4965,wróciłam ,I'm back 
4966,krzesło ,chair 
4967,lenny ,fief 
4968,klatce ,cage 
4969,tożsamość ,identity 
4970,niebieskie ,blue 
4971,procesu ,process 
4972,bzdur ,nonsense 
4973,świadek ,witness 
4974,organizacji ,organization 
4975,nogach ,legs 
4976,dzisiejszego ,today 
4977,częściej ,more often 
4978,białych ,whites 
4979,zajął ,took 
4980,pewnych ,certain 
4981,przeciwnie ,contrary 
4982,davida ,david 
4983,głośniej ,louder 
4984,wzywa ,calls 
4985,wyobrażam ,I imagine 
4986,lepszą ,better 
4987,czarnego ,black 
4988,waż ,snake 
4989,banda ,band 
4990,zostawisz ,you will leave 
4991,nisko ,low 
4992,chleb ,bread 
4993,wyjaśnia ,explain 
4994,ooh ,ooh 
4995,dzielić ,to divide 
4996,dotrzemy ,we will arrive 
4997,diabeł ,devil 
4998,ćwiczenia ,exercises 
4999,użył ,used 
